artwork_reference_number,title,artwork_description,artwork_sort_order,artwork_year,drupal_url,body_text,link,drupal_nid,drupal_post_date,published,artwork_url_original,artwork_url_thumbnail
164,strawberry,36 x 60 in | 91 x 152 cm,7,2013,/artwork/strawberry,,/artwork/strawberry,194,8/1/13 11:50,Yes,http://www.enaswansea.com/sites/default/files/artwork/164/164strawberryforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/164/164strawberryforwebsite.jpg
180,Guston hands,54 x 90 in | 137 x 229 cm,7,2014,/artwork/guston-hands,,/artwork/guston-hands,213,9/2/14 16:06,Yes,http://www.enaswansea.com/sites/default/files/artwork/180/180gustonhands.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/180/180gustonhands.png
193,girl in a club,36 x 48 in | 91.5 x 122 cm,7,2016,/artwork/girl-in-a-club,,/artwork/girl-in-a-club,224,3/26/16 23:07,Yes,http://www.enaswansea.com/sites/default/files/artwork/193/193girlinaclubforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/193/193girlinaclubforwebsite.jpg
206,snow on 16th st 2017,90 x 108 in | 228 x 274 cm,7,2017,/artwork/snow-on-16th-st-2017,,/artwork/snow-on-16th-st-2017,239,3/1/17 9:15,Yes,http://www.enaswansea.com/sites/default/files/artwork/206/206snowon16thstreetforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/206/206snowon16thstreetforwebsite.jpg
216,where are you,84 x 144 in | 213 x 366 cm,7,2018,/artwork/where-are-you,,/artwork/where-are-you,249,1/27/18 14:03,Yes,http://www.enaswansea.com/sites/default/files/artwork/216/216whereareyouadjforwebsite.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/216/216whereareyouadjforwebsite.png
27,x-rays p,108 x 53 in (274.5 x 134.5 cm),8,2004,/artwork/x-rays-p,"oil on graphite on linen, 108 x 53 in (274.5 x 134.5 cm)",/artwork/x-rays-p,118,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/27/27xraysp.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/27/27xraysp.jpg
62,shadow and reflection,80 x 110 in (203.2 x 279.4 cm),8,2005,/artwork/shadow-and-reflection,"oil on linen, 80 x 110 in (203.2 x 279.4 cm)",/artwork/shadow-and-reflection,83,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/62/62shadowandreflection.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/62/62shadowandreflection.jpg
87,Casey Spooner,84 x 60 in (213.36 x 152.40 cm),8,2006,/artwork/casey-spooner,"oil on graphite on linen,",/artwork/casey-spooner,58,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/87/89caseyspooner150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/87/89caseyspooner150.jpg
92,ice skaters,36 x 54 in (91.4 x 137.2 cm),8,2007,/artwork/ice-skaters,"oil on graphite on linen, 36 x 54 in (91.4 x 137.2 cm)",/artwork/ice-skaters,53,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/92/95iceskaters150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/92/95iceskaters150.jpg
108,21st century haystack 3,72 x 54 in (182.9 x 137.2 cm),8,2008,/artwork/21st-century-haystack-3,"oil on graphite on linen, 72 x 54 in (182.9 x 137.2 cm)",/artwork/21st-century-haystack-3,37,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/108/11121stcenturyhaystack3150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/108/11121stcenturyhaystack3150.jpg
